Algorithm,Map,Run,Computation Time
Skeletonize,Map1,64,"1.2945561408996582
"
Skeletonize,Map1,65,"1.3135085105895996
"
Skeletonize,Map1,66,"1.3613572120666504
"
Skeletonize,Map1,67,"1.285560131072998
"
Skeletonize,Map1,68,"1.2965497970581055
"
Skeletonize,Map1,69,"1.3105206489562988
"
Skeletonize,Map1,70,"1.27158784866333
"
Skeletonize,Map1,71,"1.2745893001556396
"
Skeletonize,Map1,72,"1.3015189170837402
"
Skeletonize,Map1,73,"1.3254528045654297
"
Skeletonize,Map1,74,"1.294536828994751
"
Skeletonize,Map1,75,"1.287553310394287
"
Skeletonize,Map1,76,"1.2746093273162842
"
Skeletonize,Map1,77,"1.3145077228546143
"
Skeletonize,Map1,78,"1.281597375869751
"
Skeletonize,Map1,79,"1.2925622463226318
"
Skeletonize,Map1,80,"1.277580976486206
"
Skeletonize,Map1,81,"1.313485860824585
"
Skeletonize,Map1,82,"1.2835643291473389
"
Skeletonize,Map1,83,"1.3045310974121094
"
Skeletonize,Map1,84,"1.343437910079956
"
Skeletonize,Map1,85,"1.3035101890563965
"
Skeletonize,Map1,86,"1.3025426864624023
"
Skeletonize,Map1,87,"1.2985458374023438
"
Skeletonize,Map1,88,"1.2865583896636963
"
Skeletonize,Map1,89,"1.314483642578125
"
Skeletonize,Map1,90,"1.295557975769043
"
Skeletonize,Map1,91,"1.261622667312622
"
Skeletonize,Map1,92,"1.3633520603179932
"
Skeletonize,Map1,93,"1.290567398071289
"
Skeletonize,Map1,94,"1.3114697933197021
"
Skeletonize,Map1,95,"1.284583568572998
"
Skeletonize,Map1,96,"1.3154795169830322
"
Skeletonize,Map1,97,"1.303511381149292
"
Skeletonize,Map1,98,"1.2776024341583252
"
Skeletonize,Map1,99,"1.2825679779052734
"
Skeletonize,Map1,100,"1.3145132064819336
"
Skeletonize,Map2,1,"2.6279666423797607
"
Skeletonize,Map2,2,"2.715733051300049
"
Skeletonize,Map2,3,"2.636942148208618
"
Skeletonize,Map2,4,"2.589099884033203
"
Skeletonize,Map2,5,"2.573134660720825
"
