Algorithm,Map,Run,Computation Time
Skeletonize,Map2,14,"2.0516517162323
"
Skeletonize,Map2,15,"2.0880179405212402
"
Skeletonize,Map2,16,"2.0698890686035156
"
Skeletonize,Map2,17,"2.0513737201690674
"
Skeletonize,Map2,18,"2.0657272338867188
"
Skeletonize,Map2,19,"2.0713324546813965
"
Skeletonize,Map2,20,"2.068942070007324
"
Skeletonize,Map2,21,"2.064831018447876
"
Skeletonize,Map2,22,"2.094782590866089
"
Skeletonize,Map2,23,"2.093648672103882
"
Skeletonize,Map2,24,"2.0720369815826416
"
Skeletonize,Map2,25,"2.0723726749420166
"
Skeletonize,Map2,26,"2.085085868835449
"
Skeletonize,Map2,27,"2.0925283432006836
"
Skeletonize,Map2,28,"2.0863327980041504
"
Skeletonize,Map2,29,"2.0719869136810303
"
Skeletonize,Map2,30,"2.090346336364746
"
Skeletonize,Map2,31,"2.081338882446289
"
Skeletonize,Map2,32,"2.089916229248047
"
Skeletonize,Map2,33,"2.07924485206604
"
Skeletonize,Map2,34,"2.086735963821411
"
Skeletonize,Map2,35,"2.074362277984619
"
Skeletonize,Map2,36,"2.100902795791626
"
Skeletonize,Map2,37,"2.0781407356262207
"
Skeletonize,Map2,38,"2.0934743881225586
"
Skeletonize,Map2,39,"2.0874857902526855
"
Skeletonize,Map2,40,"2.093470573425293
"
Skeletonize,Map2,41,"2.0996406078338623
"
Skeletonize,Map2,42,"2.0900397300720215
"
Skeletonize,Map2,43,"2.097306966781616
"
Skeletonize,Map2,44,"2.072272300720215
"
Skeletonize,Map2,45,"2.063467025756836
"
Skeletonize,Map2,46,"2.085942029953003
"
Skeletonize,Map2,47,"2.0948405265808105
"
Skeletonize,Map2,48,"2.118372917175293
"
Skeletonize,Map2,49,"2.1222083568573
"
Skeletonize,Map2,50,"2.1115543842315674
"
Skeletonize,Map2,51,"2.11226749420166
"
Skeletonize,Map2,52,"2.0831127166748047
"
Skeletonize,Map2,53,"2.105384111404419
"
Skeletonize,Map2,54,"2.078104019165039
"
Skeletonize,Map2,55,"2.083207130432129
"
Skeletonize,Map2,56,"2.095104455947876
"
Skeletonize,Map2,57,"2.1140172481536865
"
Skeletonize,Map2,58,"2.0936625003814697
"
Skeletonize,Map2,59,"2.071078062057495
"
Skeletonize,Map2,60,"2.065474033355713
"
Skeletonize,Map2,61,"2.077841281890869
"
Skeletonize,Map2,62,"2.0954604148864746
"
Skeletonize,Map2,63,"2.091068744659424
"
Skeletonize,Map2,64,"2.0840847492218018
"
Skeletonize,Map2,65,"2.09306001663208
"
Skeletonize,Map2,66,"2.092146635055542
"
Skeletonize,Map2,67,"2.0983095169067383
"
Skeletonize,Map2,68,"2.0847008228302
"
Skeletonize,Map2,69,"2.1131231784820557
"
Skeletonize,Map2,70,"2.086827278137207
"
Skeletonize,Map2,71,"2.1044020652770996
"
Skeletonize,Map2,72,"2.0751564502716064
"
Skeletonize,Map2,73,"2.0782296657562256
"
Skeletonize,Map2,74,"2.09184193611145
"
Skeletonize,Map2,75,"2.0783274173736572
"
Skeletonize,Map2,76,"2.096095323562622
"
Skeletonize,Map2,77,"2.1005754470825195
"
Skeletonize,Map2,78,"2.088371992111206
"
Skeletonize,Map2,79,"2.09782338142395
"
Skeletonize,Map2,80,"2.0870490074157715
"
Skeletonize,Map2,81,"2.1020352840423584
"
Skeletonize,Map2,82,"2.0893940925598145
"
Skeletonize,Map2,83,"2.0770609378814697
"
Skeletonize,Map2,84,"2.0841240882873535
"
Skeletonize,Map2,85,"2.080178737640381
"
Skeletonize,Map2,86,"2.0982470512390137
"
Skeletonize,Map2,87,"2.0854954719543457
"
Skeletonize,Map2,88,"2.0977277755737305
"
Skeletonize,Map2,89,"2.076828956604004
"
Skeletonize,Map2,90,"2.089878559112549
"
Skeletonize,Map2,91,"2.1190154552459717
"
Skeletonize,Map2,92,"2.1110222339630127
"
Skeletonize,Map2,93,"2.0907363891601562
"
Skeletonize,Map2,94,"2.1027133464813232
"
Skeletonize,Map2,95,"2.0903918743133545
"
Skeletonize,Map2,96,"2.0887107849121094
"
Skeletonize,Map2,97,"2.1047918796539307
"
Skeletonize,Map2,98,"2.082624673843384
"
Skeletonize,Map2,99,"2.0913796424865723
"
Skeletonize,Map2,100,"2.1086349487304688
"
Skeletonize,Map3,1,"2.0064444541931152
"
Skeletonize,Map3,2,"2.0018720626831055
"
Skeletonize,Map3,3,"2.0651609897613525
"
Skeletonize,Map3,4,"2.065488815307617
"
Skeletonize,Map3,5,"2.068843364715576
"
Skeletonize,Map3,6,"2.0647926330566406
"
Skeletonize,Map3,7,"2.0562210083007812
"
Skeletonize,Map3,8,"2.0375168323516846
"
Skeletonize,Map3,9,"2.0565361976623535
"
Skeletonize,Map3,10,"2.0465970039367676
"
Skeletonize,Map3,11,"2.0466434955596924
"
Skeletonize,Map3,12,"2.0650529861450195
"
Skeletonize,Map3,13,"2.054497241973877
"
Skeletonize,Map3,14,"2.0582966804504395
"
Skeletonize,Map3,15,"2.07974910736084
"
Skeletonize,Map3,16,"2.0902976989746094
"
Skeletonize,Map3,17,"2.0635764598846436
"
Skeletonize,Map3,18,"2.0778634548187256
"
Skeletonize,Map3,19,"2.0686681270599365
"
Skeletonize,Map3,20,"2.0962932109832764
"
Skeletonize,Map3,21,"2.059890031814575
"
Skeletonize,Map3,22,"2.0690314769744873
"
